date,network,field,value
2026-05-03,telegram,views_day,4584.0
2026-05-03,vk,content_day,1.0
2026-05-03,vk,engagement_rate_day,7.75
2026-05-03,vk,referrals_day,4.0
2026-05-03,vk,subscribers,23040.0
2026-05-03,youtube,content_day,0.0
2026-05-03,youtube,engagement_rate_day,1.34
2026-05-03,youtube,reactions_day,705.0
2026-05-03,youtube,referrals_day,9.0
2026-05-03,youtube,subscribers,91058.0
2026-05-03,youtube,views_day,52541.0
2026-05-04,instagram,content_day,0.0
2026-05-04,instagram,engagement_rate_day,4.56
2026-05-04,instagram,reactions_day,79.0
2026-05-04,instagram,referrals_day,3.0
2026-05-04,instagram,subscribers,20233.0
2026-05-04,telegram,content_day,3.0
2026-05-04,telegram,engagement_rate_day,0.08
2026-05-04,telegram,referrals_day,93.0
2026-05-04,telegram,subscribers,13206.0
2026-05-04,telegram,views_day,8940.0
2026-05-04,vk,content_day,3.0
2026-05-04,vk,engagement_rate_day,5.97
2026-05-04,vk,referrals_day,14.0
2026-05-04,vk,subscribers,23041.0
2026-05-04,youtube,content_day,0.0
2026-05-04,youtube,engagement_rate_day,1.47
2026-05-04,youtube,reactions_day,490.0
2026-05-04,youtube,referrals_day,14.0
2026-05-04,youtube,subscribers,91071.0
2026-05-04,youtube,views_day,33277.0
2026-05-05,instagram,content_day,2.0
2026-05-05,instagram,engagement_rate_day,5.3
2026-05-05,instagram,reactions_day,170.0
2026-05-05,instagram,referrals_day,0.0
2026-05-05,instagram,subscribers,20087.0
2026-05-05,telegram,content_day,1.0
